Base_Name_Snapshot,Base_Name_History,Location_Code,MAJCOM_Display,MAJCOM_Match
Bradley IAP,"BRDLY,WINDSOR LK NG",CEKT,ANG,ANG
Channel Islands,CHANNEL ISLAND  CA,DJCF,ANG,ANG
Cheyenne,CHEYENNE MAP,DPEZ,ANG,ANG
Dobbins AFB,DOBBINS,FGWB,AFRC,AFRC
Dyess AFB,DYESS TX,FNWZ,AMC,AMC
Great Falls IAP,GREAT FALLS,JKSE,ANG,ANG
Greater Peoria AP,GREATER PEORIA,JLQN,ANG,ANG
Keesler AFB,KEESLER,MAHG,AFRC,AFRC
Little Rock AFB AMC,LITTLE ROCK,NKAK,AMC,AMC
Little Rock AFB AETC,LITTLE ROCK,NKAW,AETC,AETC
Little Rock AFB,LITTLE ROCK ANG,NKAT,ANG,ANG
Mansfield Lahm MAP,MANSFIELD,PBXP,ANG,ANG
Maxwell AFB,MAXWELL AFB AL,PNQS,AFRC,AFRC
McLaughlin ANG,YEAGER NG WVA,LYBH,ANG,ANG
Minneapolis-St. Paul IAP,MINN-ST PAUL,QJKL,AFRC,AFRC
Minneapolis-St. Paul IAP,MINN-ST PAUL NG,QJKD,ANG,ANG
NAS JRB Fort Worth,CARSWELL,DDPF,ANG,ANG
New Castle AP,GREATER WILMINGTN,JLWS,ANG,ANG
Peterson AFB,PETERSON,TDKA,AFRC,AFRC
Pittsburgh IAP,GREATER PITTSBURG,JLSS,AFRC,AFRC
Quonset,QUONSET STATE,TWLR,ANG,ANG
Ramstein AB,RAMSTEIN,TYFR,USAFE,USAFE
Reno Cannon/Tahoe IAP,RENO,UCTL,ANG,ANG
Robins AFB,ROBINS,UHHZ,WRALC DEPOT,AFMC
Rosecrans Memorial,ROSECRANS MEMORAL,ULYB,ANG,ANG
San Juan IAP,PUERTO RICO,TUMR,ANG,ANG
Savannah IAP,SAVANNAH,XDQU,ANG,ANG
Standiford Field,STANDIFORD,WEAS,ANG,ANG
Stratton ANGB,SCHENECTADY CO,VBDZ,ANG,ANG
Wright-Patterson AFB,WRIGHT PATT AFB OH,ZHTV,AFRC,AFRC
Yokota AB,YOKOTA,ZNRE,PACAF,PACAF
Youngstown-Warren,YOUNGSTOWN OH,ZQEL,AFRC,AFRC
